id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_duration_ms,track_time_signature
52yvnBV90B2ZUC5b25cFer,0.827,0.926,0,-1.633,1,0.0346,0.23,0,0.158,0.949,135.97,171117,4
7snoDTJeoJ2oVMhf7eoF3t,0.83,0.92,4,-2.303,1,0.0352,0.118,0,0.234,0.967,121.982,208383,4
1NXeltgzjQeiC4hbf2XNVr,0.785,0.869,0,-2.169,1,0.0389,0.114,0,0.347,0.886,134.024,180905,4
3tv697PZNnaQN0Mn2zGhS5,0.794,0.937,8,-2.44,0,0.0336,0.366,0,0.962,0.826,134.012,237517,4
6NM06xgqxQ0HU5lxbt2JHi,0.616,0.839,2,-2.895,1,0.106,0.292,0,0.268,0.348,147.883,210080,4
0SlCt3S4bEGUPo07yZIlQP,0.622,0.725,6,-3.754,1,0.0397,0.319,0,0.407,0.694,129.87,145962,4
490NQHlu9e6HkJMf7LU8z4,0.823,0.934,4,-3.046,0,0.0447,0.192,0,0.424,0.967,156.023,165020,4
0j1tGcJJfq1nIs4i5GoHXv,0.339,0.584,3,-7.423,1,0.0339,0.0391,0,0.0809,0.324,133.096,231285,5
6nI98wtHOJAYSASq22TCYu,0.457,0.603,3,-7.729,1,0.0278,0.144,0,0.679,0.176,77.048,249847,4
3BDnZJC9yaj01jtqpyDYzG,0.393,0.619,1,-5.207,1,0.0513,0.384,0,0.831,0.505,62.052,227600,3
159ntSAEWJ9zIMOSXmQ530,0.737,0.758,2,-5.508,1,0.0402,0.342,0,0.834,0.734,126.978,180001,4
7KdcbYcVF8LkQeQcTYOixJ,0.608,0.729,1,-7.4,1,0.128,0.151,0,0.201,0.431,165.959,181512,4
79BHjj4YkvbpOlMvG6wf3n,0.394,0.498,7,-6.853,1,0.0341,0.759,0,0.518,0.4,132.74,214088,4
5gvrBqNFFEWcxYPt3mamvJ,0.648,0.789,1,-4.767,1,0.0414,0.304,0,0.532,0.53,128.124,179722,4
2PIWldP9oUhb9iqe3EJh1e,0.687,0.411,3,-8.619,1,0.0338,0.866,0,0.0967,0.184,101.851,204000,4
1Go5sZ2OZeWNyskKsX2CFW,0.624,0.823,11,-6.036,0,0.0297,0.533,0,0.0864,0.451,137.97,201453,4
4juuHs3mbaZKuiBUEDgLzF,0.592,0.493,6,-8.382,1,0.0355,0.475,0,0.114,0.51,83.988,227373,4
0uy2rIyxSsce6YdEh6ApVs,0.615,0.42,4,-11.584,1,0.0279,0.8,0,0.12,0.236,105.998,221267,4
7KsPoQeQrwJUo9UdLrtpeR,0.507,0.865,7,-8.976,1,0.107,0.666,0,0.876,0.374,137.462,205961,4
6g4AJY0FSYPXV0JGvXbShO,0.367,0.207,9,-14.103,1,0.0325,0.877,0,0.128,0.562,95.456,192667,4
2uClc204KlPCIu6l3vzvOe,0.446,0.6,6,-9.357,1,0.0444,0.747,0,0.907,0.543,151.763,207633,4
7x6ylW9E6HOVZxWZzCBa5u,0.622,0.831,0,-7.705,1,0.0322,0.617,0,0.888,0.367,137.522,169877,4
2SbeBuXi2WGK5C48pK29AO,0.494,0.854,9,-8.598,1,0.0584,0.466,0,0.809,0.41,138.665,244506,4
2MdhXFZFYCKNbS9scH7ljU,0.532,0.497,7,-10.963,1,0.029,0.551,0,0.799,0.515,134.431,184552,4
0jwGxgupGo2ovlU5eonF9D,0.739,0.575,5,-9.093,1,0.0324,0.493,0,0.166,0.712,127.046,238427,4
3W8Oy4HpNaB3A2jQiH3CIG,0.751,0.755,6,-4.43,1,0.0306,0.423,0,0.634,0.951,126.023,165927,3
3u3G8q8xzUv3ujZ59DLKzU,0.675,0.52,6,-8.793,1,0.025,0.097,0,0.333,0.607,113.255,275107,4
3oMk1VNl1N7dgibHwHw1j2,0.48,0.569,11,-9.953,1,0.0306,0.181,0,0.56,0.711,146.148,202707,4
5XRUIRvX0BTzuBDtxMCZZ9,0.383,0.589,10,-6.523,1,0.0401,0.37,0,0.17,0.303,78.967,246027,4
47uSaJXqUIYdgCyFzuikoW,0.322,0.565,0,-9.908,1,0.0759,0.082,0,0.183,0.382,74.874,345150,4
3TPVkq85S5r0EoXZHn5zxU,0.618,0.525,9,-8.572,1,0.032,0.0921,0,0.316,0.657,124.932,195133,4
